,relationship,from_country,to_country,contest_year,total_points,point_ratio,avg_point_ratio
142,Germany-Italy,Germany,Italy,1958,4,0.33333333333333333333,0.21453900709219858156
143,Germany-Sweden,Germany,Sweden,1958,0,0E-20,0.26250000000000000000
144,Germany-Belgium,Germany,Belgium,1958,5,0.41666666666666666667,0.17067307692307692308
145,Germany-Austria,Germany,Austria,1958,0,0E-20,0.15602836879432624113
146,Germany-Germany,Germany,Germany,1958,0,0E-20,0E-20
147,Germany-Denmark,Germany,Denmark,1958,0,0E-20,0.21780303030303030303
148,Germany-Netherlands,Germany,Netherlands,1958,0,0E-20,0.21813725490196078431
149,Germany-Luxembourg,Germany,Luxembourg,1958,0,0E-20,0.18518518518518518519
150,Italy-France,Italy,France,1958,6,0.50000000000000000000,0.24818840579710144928
151,Italy-Switzerland,Italy,Switzerland,1958,4,0.33333333333333333333,0.21239837398373983740
152,Italy-Italy,Italy,Italy,1958,0,0E-20,0E-20
153,Italy-Sweden,Italy,Sweden,1958,0,0E-20,0.15213178294573643411
154,Italy-Belgium,Italy,Belgium,1958,0,0E-20,0.11890243902439024390
155,Italy-Austria,Italy,Austria,1958,0,0E-20,0.17567567567567567568
156,Italy-Germany,Italy,Germany,1958,0,0E-20,0.17819148936170212766
157,Italy-Denmark,Italy,Denmark,1958,0,0E-20,0.15053763440860215054
158,Italy-Netherlands,Italy,Netherlands,1958,0,0E-20,0.17784552845528455285
159,Italy-Luxembourg,Italy,Luxembourg,1958,0,0E-20,0.19949494949494949495
160,Luxembourg-France,Luxembourg,France,1958,1,0.08333333333333333333,0.29656862745098039216
161,Luxembourg-Switzerland,Luxembourg,Switzerland,1958,5,0.41666666666666666667,0.24537037037037037037
162,Luxembourg-Italy,Luxembourg,Italy,1958,0,0E-20,0.20707070707070707071
163,Luxembourg-Sweden,Luxembourg,Sweden,1958,3,0.25000000000000000000,0.19791666666666666667
164,Luxembourg-Belgium,Luxembourg,Belgium,1958,0,0E-20,0.15046296296296296296
165,Luxembourg-Austria,Luxembourg,Austria,1958,1,0.08333333333333333333,0.07258064516129032258
166,Luxembourg-Germany,Luxembourg,Germany,1958,0,0E-20,0.20138888888888888889
167,Luxembourg-Denmark,Luxembourg,Denmark,1958,0,0E-20,0.12333333333333333333
168,Luxembourg-Netherlands,Luxembourg,Netherlands,1958,0,0E-20,0.20098039215686274510
169,Luxembourg-Luxembourg,Luxembourg,Luxembourg,1958,0,0E-20,0E-20
170,Netherlands-France,Netherlands,France,1958,0,0E-20,0.23750000000000000000
171,Netherlands-Switzerland,Netherlands,Switzerland,1958,6,0.50000000000000000000,0.26388888888888888889
172,Netherlands-Italy,Netherlands,Italy,1958,1,0.08333333333333333333,0.14814814814814814815
173,Netherlands-Sweden,Netherlands,Sweden,1958,2,0.16666666666666666667,0.25804093567251461988
174,Netherlands-Belgium,Netherlands,Belgium,1958,0,0E-20,0.29591836734693877551
175,Netherlands-Austria,Netherlands,Austria,1958,0,0E-20,0.13541666666666666667
176,Netherlands-Germany,Netherlands,Germany,1958,0,0E-20,0.21174863387978142077
177,Netherlands-Denmark,Netherlands,Denmark,1958,1,0.08333333333333333333,0.26666666666666666667
178,Netherlands-Netherlands,Netherlands,Netherlands,1958,0,0E-20,0E-20
179,Netherlands-Luxembourg,Netherlands,Luxembourg,1958,0,0E-20,0.19852941176470588235
180,Sweden-France,Sweden,France,1958,1,0.08333333333333333333,0.20833333333333333333
181,Sweden-Switzerland,Sweden,Switzerland,1958,4,0.33333333333333333333,0.16046099290780141844
182,Sweden-Italy,Sweden,Italy,1958,1,0.08333333333333333333,0.16957364341085271318
183,Sweden-Sweden,Sweden,Sweden,1958,0,0E-20,0E-20
184,Sweden-Belgium,Sweden,Belgium,1958,1,0.08333333333333333333,0.13945578231292517007
185,Sweden-Austria,Sweden,Austria,1958,1,0.08333333333333333333,0.16574074074074074074
186,Sweden-Germany,Sweden,Germany,1958,1,0.08333333333333333333,0.20081967213114754098
187,Sweden-Denmark,Sweden,Denmark,1958,1,0.08333333333333333333,0.40079365079365079365
188,Sweden-Netherlands,Sweden,Netherlands,1958,0,0E-20,0.19097222222222222222
189,Sweden-Luxembourg,Sweden,Luxembourg,1958,0,0E-20,0.20052083333333333333
190,Switzerland-France,Switzerland,France,1958,1,0.08333333333333333333,0.26319444444444444444
191,Switzerland-Switzerland,Switzerland,Switzerland,1958,0,0E-20,0E-20
192,Switzerland-Italy,Switzerland,Italy,1958,1,0.08333333333333333333,0.34574468085106382979
193,Switzerland-Sweden,Switzerland,Sweden,1958,3,0.25000000000000000000,0.24269005847953216374
194,Switzerland-Belgium,Switzerland,Belgium,1958,1,0.08333333333333333333,0.11916666666666666667
195,Switzerland-Austria,Switzerland,Austria,1958,2,0.16666666666666666667,0.13981481481481481481
196,Switzerland-Germany,Switzerland,Germany,1958,0,0E-20,0.23565573770491803279
197,Switzerland-Denmark,Switzerland,Denmark,1958,0,0E-20,0.07825203252032520325
198,Switzerland-Netherlands,Switzerland,Netherlands,1958,1,0.08333333333333333333,0.21938775510204081633
199,Switzerland-Luxembourg,Switzerland,Luxembourg,1958,1,0.08333333333333333333,0.12268518518518518519
200,Austria-Netherlands,Austria,Netherlands,1959,3,0.25000000000000000000,0.22685185185185185185
201,Austria-United Kingdom,Austria,United Kingdom,1959,2,0.16666666666666666667,0.30632716049382716049
202,Austria-France,Austria,France,1959,1,0.08333333333333333333,0.22916666666666666667
203,Austria-Switzerland,Austria,Switzerland,1959,1,0.08333333333333333333,0.27651515151515151515
204,Austria-Denmark,Austria,Denmark,1959,2,0.16666666666666666667,0.17841880341880341880
205,Austria-Italy,Austria,Italy,1959,0,0E-20,0.24305555555555555556
206,Austria-Belgium,Austria,Belgium,1959,0,0E-20,0.11413043478260869565
207,Austria-Germany,Austria,Germany,1959,0,0E-20,0.21604938271604938272
208,Austria-Sweden,Austria,Sweden,1959,0,0E-20,0.27804487179487179487
209,Austria-Austria,Austria,Austria,1959,0,0E-20,0E-20
210,Austria-Monaco,Austria,Monaco,1959,1,0.08333333333333333333,0.14583333333333333333
211,Belgium-Netherlands,Belgium,Netherlands,1959,3,0.25000000000000000000,0.27040816326530612245
212,Belgium-United Kingdom,Belgium,United Kingdom,1959,2,0.16666666666666666667,0.25604838709677419355
213,Belgium-France,Belgium,France,1959,2,0.16666666666666666667,0.23087431693989071038
214,Belgium-Switzerland,Belgium,Switzerland,1959,1,0.08333333333333333333,0.22278911564625850340
215,Belgium-Denmark,Belgium,Denmark,1959,0,0E-20,0.17261904761904761905
216,Belgium-Italy,Belgium,Italy,1959,1,0.08333333333333333333,0.22916666666666666667
217,Belgium-Belgium,Belgium,Belgium,1959,0,0E-20,0E-20
218,Belgium-Germany,Belgium,Germany,1959,1,0.08333333333333333333,0.22244623655913978495
219,Belgium-Sweden,Belgium,Sweden,1959,0,0E-20,0.25574712643678160919
220,Belgium-Austria,Belgium,Austria,1959,0,0E-20,0.20652173913043478261
221,Belgium-Monaco,Belgium,Monaco,1959,0,0E-20,0.15873015873015873016
222,Denmark-Netherlands,Denmark,Netherlands,1959,0,0E-20,0.18355855855855855856
223,Denmark-United Kingdom,Denmark,United Kingdom,1959,1,0.08333333333333333333,0.26083333333333333333
224,Denmark-France,Denmark,France,1959,4,0.33333333333333333333,0.15250000000000000000
225,Denmark-Switzerland,Denmark,Switzerland,1959,2,0.16666666666666666667,0.23423423423423423423
226,Denmark-Denmark,Denmark,Denmark,1959,0,0E-20,0E-20
227,Denmark-Italy,Denmark,Italy,1959,0,0E-20,0.08796296296296296296
228,Denmark-Belgium,Denmark,Belgium,1959,2,0.16666666666666666667,0.16132478632478632479
229,Denmark-Germany,Denmark,Germany,1959,0,0E-20,0.28921568627450980392
230,Denmark-Sweden,Denmark,Sweden,1959,1,0.08333333333333333333,0.58506944444444444444
231,Denmark-Austria,Denmark,Austria,1959,0,0E-20,0.17841880341880341880
232,Denmark-Monaco,Denmark,Monaco,1959,0,0E-20,0.13333333333333333333
233,France-Netherlands,France,Netherlands,1959,4,0.33333333333333333333,0.23833333333333333333
234,France-United Kingdom,France,United Kingdom,1959,1,0.08333333333333333333,0.26322751322751322751
235,France-France,France,France,1959,0,0E-20,0E-20
236,France-Switzerland,France,Switzerland,1959,0,0E-20,0.18027210884353741497
237,France-Denmark,France,Denmark,1959,0,0E-20,0.20833333333333333333
238,France-Italy,France,Italy,1959,3,0.25000000000000000000,0.30344202898550724638
239,France-Belgium,France,Belgium,1959,0,0E-20,0.22222222222222222222
240,France-Germany,France,Germany,1959,2,0.16666666666666666667,0.19841269841269841270
241,France-Sweden,France,Sweden,1959,0,0E-20,0.20056497175141242938
242,France-Austria,France,Austria,1959,0,0E-20,0.14893617021276595745
243,France-Monaco,France,Monaco,1959,0,0E-20,0.17500000000000000000
244,Germany-Netherlands,Germany,Netherlands,1959,2,0.16666666666666666667,0.21813725490196078431
245,Germany-United Kingdom,Germany,United Kingdom,1959,0,0E-20,0.25065104166666666667
246,Germany-France,Germany,France,1959,4,0.33333333333333333333,0.22222222222222222222
247,Germany-Switzerland,Germany,Switzerland,1959,1,0.08333333333333333333,0.20750000000000000000
248,Germany-Denmark,Germany,Denmark,1959,0,0E-20,0.21780303030303030303
249,Germany-Italy,Germany,Italy,1959,0,0E-20,0.21453900709219858156
250,Germany-Belgium,Germany,Belgium,1959,3,0.25000000000000000000,0.17067307692307692308
251,Germany-Germany,Germany,Germany,1959,0,0E-20,0E-20
252,Germany-Sweden,Germany,Sweden,1959,0,0E-20,0.26250000000000000000
253,Germany-Austria,Germany,Austria,1959,0,0E-20,0.15602836879432624113
254,Germany-Monaco,Germany,Monaco,1959,0,0E-20,0.22222222222222222222
255,Italy-Netherlands,Italy,Netherlands,1959,7,0.58333333333333333333,0.17784552845528455285
256,Italy-United Kingdom,Italy,United Kingdom,1959,0,0E-20,0.24094202898550724638
257,Italy-France,Italy,France,1959,1,0.08333333333333333333,0.24818840579710144928
258,Italy-Switzerland,Italy,Switzerland,1959,0,0E-20,0.21239837398373983740
259,Italy-Denmark,Italy,Denmark,1959,1,0.08333333333333333333,0.15053763440860215054
260,Italy-Italy,Italy,Italy,1959,0,0E-20,0E-20
261,Italy-Belgium,Italy,Belgium,1959,0,0E-20,0.11890243902439024390
262,Italy-Germany,Italy,Germany,1959,1,0.08333333333333333333,0.17819148936170212766
263,Italy-Sweden,Italy,Sweden,1959,0,0E-20,0.15213178294573643411
264,Italy-Austria,Italy,Austria,1959,0,0E-20,0.17567567567567567568
265,Italy-Monaco,Italy,Monaco,1959,0,0E-20,0.22222222222222222222
266,Monaco-Netherlands,Monaco,Netherlands,1959,1,0.08333333333333333333,0.12500000000000000000
267,Monaco-United Kingdom,Monaco,United Kingdom,1959,2,0.16666666666666666667,0.28819444444444444444
268,Monaco-France,Monaco,France,1959,2,0.16666666666666666667,0.36594202898550724638
269,Monaco-Switzerland,Monaco,Switzerland,1959,1,0.08333333333333333333,0.18840579710144927536
270,Monaco-Denmark,Monaco,Denmark,1959,1,0.08333333333333333333,0.09722222222222222222
271,Monaco-Italy,Monaco,Italy,1959,1,0.08333333333333333333,0.21825396825396825397
272,Monaco-Belgium,Monaco,Belgium,1959,1,0.08333333333333333333,0.14015151515151515152
273,Monaco-Germany,Monaco,Germany,1959,0,0E-20,0.20833333333333333333
274,Monaco-Sweden,Monaco,Sweden,1959,0,0E-20,0.11111111111111111111
275,Monaco-Austria,Monaco,Austria,1959,1,0.08333333333333333333,0.12745098039215686275
276,Monaco-Monaco,Monaco,Monaco,1959,0,0E-20,0E-20
277,Netherlands-Netherlands,Netherlands,Netherlands,1959,0,0E-20,0E-20
278,Netherlands-United Kingdom,Netherlands,United Kingdom,1959,5,0.41666666666666666667,0.21653005464480874317
279,Netherlands-France,Netherlands,France,1959,0,0E-20,0.23750000000000000000
280,Netherlands-Switzerland,Netherlands,Switzerland,1959,0,0E-20,0.26388888888888888889
281,Netherlands-Denmark,Netherlands,Denmark,1959,1,0.08333333333333333333,0.26666666666666666667
282,Netherlands-Italy,Netherlands,Italy,1959,0,0E-20,0.14814814814814814815
283,Netherlands-Belgium,Netherlands,Belgium,1959,1,0.08333333333333333333,0.29591836734693877551
284,Netherlands-Germany,Netherlands,Germany,1959,0,0E-20,0.21174863387978142077
285,Netherlands-Sweden,Netherlands,Sweden,1959,3,0.25000000000000000000,0.25804093567251461988
286,Netherlands-Austria,Netherlands,Austria,1959,0,0E-20,0.13541666666666666667
287,Netherlands-Monaco,Netherlands,Monaco,1959,0,0E-20,0.18253968253968253968
288,Sweden-Netherlands,Sweden,Netherlands,1959,0,0E-20,0.19097222222222222222
289,Sweden-United Kingdom,Sweden,United Kingdom,1959,0,0E-20,0.24180327868852459016
290,Sweden-France,Sweden,France,1959,0,0E-20,0.20833333333333333333
291,Sweden-Switzerland,Sweden,Switzerland,1959,3,0.25000000000000000000,0.16046099290780141844
292,Sweden-Denmark,Sweden,Denmark,1959,4,0.33333333333333333333,0.40079365079365079365
293,Sweden-Italy,Sweden,Italy,1959,1,0.08333333333333333333,0.16957364341085271318
294,Sweden-Belgium,Sweden,Belgium,1959,0,0E-20,0.13945578231292517007
295,Sweden-Germany,Sweden,Germany,1959,0,0E-20,0.20081967213114754098
296,Sweden-Sweden,Sweden,Sweden,1959,0,0E-20,0E-20
297,Sweden-Austria,Sweden,Austria,1959,2,0.16666666666666666667,0.16574074074074074074
298,Sweden-Monaco,Sweden,Monaco,1959,0,0E-20,0.21759259259259259259
299,Switzerland-Netherlands,Switzerland,Netherlands,1959,0,0E-20,0.21938775510204081633
300,Switzerland-United Kingdom,Switzerland,United Kingdom,1959,3,0.25000000000000000000,0.28961748633879781421
301,Switzerland-France,Switzerland,France,1959,1,0.08333333333333333333,0.26319444444444444444
302,Switzerland-Switzerland,Switzerland,Switzerland,1959,0,0E-20,0E-20
303,Switzerland-Denmark,Switzerland,Denmark,1959,1,0.08333333333333333333,0.07825203252032520325
304,Switzerland-Italy,Switzerland,Italy,1959,3,0.25000000000000000000,0.34574468085106382979
305,Switzerland-Belgium,Switzerland,Belgium,1959,0,0E-20,0.11916666666666666667
306,Switzerland-Germany,Switzerland,Germany,1959,1,0.08333333333333333333,0.23565573770491803279
307,Switzerland-Sweden,Switzerland,Sweden,1959,0,0E-20,0.24269005847953216374
308,Switzerland-Austria,Switzerland,Austria,1959,1,0.08333333333333333333,0.13981481481481481481
309,Switzerland-Monaco,Switzerland,Monaco,1959,0,0E-20,0.15873015873015873016
310,United Kingdom-Netherlands,United Kingdom,Netherlands,1959,1,0.08333333333333333333,0.17483660130718954248
311,United Kingdom-United Kingdom,United Kingdom,United Kingdom,1959,0,0E-20,0E-20
312,United Kingdom-France,United Kingdom,France,1959,0,0E-20,0.17261904761904761905
313,United Kingdom-Switzerland,United Kingdom,Switzerland,1959,5,0.41666666666666666667,0.27916666666666666667
314,United Kingdom-Denmark,United Kingdom,Denmark,1959,2,0.16666666666666666667,0.24903100775193798450
315,United Kingdom-Italy,United Kingdom,Italy,1959,0,0E-20,0.13315217391304347826
316,United Kingdom-Belgium,United Kingdom,Belgium,1959,2,0.16666666666666666667,0.19551282051282051282
317,United Kingdom-Germany,United Kingdom,Germany,1959,0,0E-20,0.22070312500000000000
318,United Kingdom-Sweden,United Kingdom,Sweden,1959,0,0E-20,0.31319444444444444444
319,United Kingdom-Austria,United Kingdom,Austria,1959,0,0E-20,0.21010638297872340426
320,United Kingdom-Monaco,United Kingdom,Monaco,1959,0,0E-20,0.21825396825396825397
321,Austria-France,Austria,France,1960,1,0.08333333333333333333,0.22916666666666666667
